time;Azymut:;K¹t Pitch:;K¹t Roll:
0.008;84.962;-44.594;11.543
0.022;67.755;-45.395;6.487
0.042;168.243;-38.79;1.219
0.044;175.456;-38.79;1.219
0.062;-177.887;-35.598;0.354
0.082;177.881;-37.03;1.051
0.101;151.982;-39.095;3.764
0.106;127.525;-39.095;3.764
0.121;138.311;-37.517;4.135
0.142;137.681;-38.267;3.299
0.162;134.049;-38.909;2.986
0.171;127.022;-38.909;2.986
0.187;133.307;-40.259;-0.409
0.201;157.217;-40.129;-2.142
0.221;143.933;-37.23;1.707
0.236;138.267;-37.23;1.707
0.24;132.879;-37.354;2.701
0.261;119.292;-39.24;2.306
0.281;126.4;-39.224;0.802
0.302;141.904;-37.615;0.616
0.303;151.178;-37.615;0.616
0.32;135.462;-38.823;1.016
0.342;126.009;-39.417;1.088
0.359;152.644;-39.51;-0.846
0.365;178.431;-39.51;-0.846
0.379;-123.813;-40.449;-3.674
0.399;-48.223;-43.576;-3.568
0.422;142.717;-40.614;0.276
0.429;105.748;-40.614;0.276
0.442;166.235;-33.657;0.582
0.478;162.202;-32.886;1.663
0.493;162.89;-32.886;1.663
0.498;139.337;-38.725;0.051
0.518;54.922;-40.081;-0.452
0.538;137.539;-38.345;0.585
0.558;77.683;-40.351;2.274
0.558;89.019;-40.351;2.274
0.577;76.349;-40.991;1.383
0.597;153.292;-36.891;-0.409
0.617;171.666;-30.857;-0.807
0.622;167.547;-30.857;-0.807
0.638;158.148;-29.475;1.972
0.657;141.272;-32.858;3.856
0.678;117.938;-37.121;3.037
0.696;101.757;-37.121;3.037
0.697;123.85;-36.381;0.042
0.717;143.138;-32.773;2.004
0.736;147.374;-31.084;2.653
0.75;156.973;-31.084;2.653
0.756;159.072;-32.834;1.466
0.795;36.469;-38.135;0.025
0.816;148.602;-33.423;2.326
0.817;131.087;-33.423;2.326
0.835;136.285;-30.858;4.523
0.855;122.137;-33.323;5.285
0.875;41.26;-45.43;4.513
0.879;38.61;-45.43;4.513
0.895;-28.127;-44.008;-5.545
0.916;-141.403;-35.032;-5.994
0.934;163.619;-31.959;0.562
0.954;137.772;-31.271;7.133
0.974;130.06;-32.613;8.063
0.995;89.62;-38.966;2.974
1.008;75.864;-38.966;2.974
1.016;62.81;-40.025;2.344
1.033;147.403;-32.292;0.734
1.073;139.883;-33.639;0.654
1.074;157.539;-33.639;0.654
1.093;176.51;-36.813;-1.4
1.113;-57.453;-38.722;-3.486
1.133;-68.666;-38.458;-3.888
1.139;-92.098;-38.458;-3.888
1.152;161.573;-32.399;1.412
1.173;161.906;-19.392;6.723
1.196;140.486;-35.221;2.318
1.201;123.337;-35.221;2.318
1.212;-26.942;-51.434;-9.915
1.232;-55.877;-45.245;-14.738
1.251;-84.085;-37.719;-8.001
1.266;-85.3;-37.719;-8.001
1.272;-106.761;-36.859;-4.275
1.291;-177.547;-33.722;-2.81
1.311;-175.403;-32.612;-3.088
