time;Azymut:;Kąt Pitch:;Kąt Roll:
1;6.372;-22.110;5.193
2;-7.291;-16.058;-0.526
3;-13.779;-14.188;-2.589
4;-8.122;-15.174;-0.722
5;-0.384;-18.734;2.039
6;-1.544;-17.146;1.597
7;1.214;-15.088;2.631
8;2.571;-15.088;2.631
9;-11.167;-12.991;-1.914
10;-9.626;-13.263;-1.447
11;0.156;-13.975;1.768
12;1.248;-13.975;1.768
13;3.692;-14.809;2.721
14;-4.878;-17.087;-0.739
15;-6.884;-16.359;-1.507
16;-2.206;-16.359;-1.507
17;1.666;-15.641;0.014
18;-3.132;-13.391;-1.724
19;4.934;-12.667;1.039
20;-0.860;-12.667;1.039
21;2.024;-14.624;2.088
22;0.496;-15.474;1.524
23;-2.950;-14.587;0.232
24;3.226;-14.587;0.232
25;2.340;-14.027;-0.123
26;4.119;-14.309;0.550
27;6.562;-14.420;1.478
28;2.746;-14.420;1.478
29;1.771;-15.179;1.136
30;-0.436;-14.348;0.292
31;4.384;-14.599;2.103
32;4.648;-14.599;2.103
33;3.220;-15.159;1.567
34;3.306;-14.470;1.564
35;1.577;-13.718;0.866
36;4.034;-13.031;1.756
37;6.066;-13.031;1.756
38;5.161;-14.407;1.538
39;2.454;-15.876;0.540
40;1.643;-14.679;0.174
41;1.764;-14.679;0.174
42;4.464;-13.214;1.084
43;8.227;-12.192;2.283
44;10.117;-12.084;2.913
45;8.038;-12.084;2.913
46;3.317;-14.491;1.307
47;-0.502;-15.281;-0.242
48;2.741;-13.629;1.036
49;3.017;-13.629;1.036
50;7.321;-13.072;2.693
51;2.823;-13.942;0.973
52;2.352;-14.493;0.804
53;5.754;-13.944;2.159
54;3.870;-13.944;2.159
55;5.072;-13.664;2.612
56;4.334;-12.840;2.264
57;8.546;-12.077;3.760
58;6.173;-12.077;3.760
59;3.919;-12.636;2.920
60;0.910;-13.671;1.745
61;3.150;-14.816;2.727
62;3.594;-14.816;2.727
63;3.908;-15.467;2.900
64;-1.820;-16.024;0.429
65;0.192;-15.338;1.306
66;3.679;-15.338;1.306
67;8.947;-13.654;3.247
68;5.488;-13.816;1.917
69;3.011;-15.141;1.021
70;2.834;-15.518;0.967
71;3.040;-15.518;0.967
72;4.452;-14.255;1.485
73;4.299;-14.936;1.469
74;7.522;-14.060;2.730
75;8.248;-14.060;2.730
76;6.136;-12.721;1.678
77;4.434;-13.242;1.019
78;0.155;-14.554;-0.757
79;-4.093;-14.554;-0.757
80;-4.272;-14.399;-0.827
81;2.766;-11.843;2.200
82;4.944;-11.843;2.200
83;6.560;-10.928;2.746
84;6.279;-11.244;2.671
85;3.768;-12.492;1.771
86;-0.278;-16.336;0.108
87;0.929;-16.336;0.108
88;-2.733;-18.942;-1.789
89;-5.626;-15.284;-3.004
90;3.033;-10.941;0.873
91;1.628;-10.941;0.873
92;12.007;-8.281;4.454
93;8.980;-11.563;3.862
94;-7.259;-19.230;-3.571
95;-13.205;-22.232;-7.367
96;-13.286;-22.279;-7.424
97;-12.170;-20.888;-6.510
98;-13.710;-20.888;-6.510
99;-12.560;-18.130;-5.306
100;-9.261;-17.511;-3.448
101;-3.751;-18.244;-0.649
102;-2.942;-19.256;-0.272
103;0.182;-19.256;-0.272
104;2.612;-19.006;1.029
105;2.258;-17.311;0.780
106;0.607;-16.422;-0.070
107;0.271;-16.422;-0.070
108;1.170;-14.174;0.354
109;-5.462;-14.976;-2.922
110;-10.033;-18.399;-5.760
111;-9.719;-18.399;-5.760
112;-8.086;-19.462;-5.007
113;-3.526;-19.248;-2.484
114;-5.767;-20.568;-3.821
115;-5.548;-20.568;-3.821
116;-9.797;-22.300;-6.484
117;-7.949;-19.740;-5.079
118;-2.239;-15.830;-1.803
119;3.184;-15.955;0.838
120;4.641;-15.955;0.838
121;3.391;-19.271;0.399
122;-8.358;-24.236;-6.582
123;-13.482;-24.513;-9.871
124;-12.533;-24.513;-9.871
125;-8.431;-15.713;-6.181
126;1.378;-8.816;-1.640
127;4.015;-7.370;-0.776
128;5.428;-7.370;-0.776
129;2.600;-5.672;-1.826
130;-5.609;-6.504;-4.492
131;-5.618;-7.869;-4.625
132;-5.471;-7.869;-4.625
133;6.934;-7.698;-0.439
134;32.883;-3.798;7.188
135;33.645;-4.274;7.791
136;21.222;-5.453;3.833
137;18.837;-5.453;3.833
138;20.120;-6.342;4.589
139;12.282;-8.428;2.303
140;2.831;-10.346;-1.027
141;3.481;-10.346;-1.027
142;3.916;-12.988;-0.689
143;5.110;-13.079;-0.168
144;3.942;-14.011;-0.613
145;4.590;-14.011;-0.613
146;5.468;-12.840;-0.342
147;13.013;-10.561;2.306
148;10.136;-10.561;2.306
149;15.515;-9.435;4.081
150;15.878;-14.025;5.438
151;6.956;-16.317;1.767
152;4.867;-15.736;0.752
153;3.120;-15.736;0.752
154;8.331;-12.502;2.609
155;14.046;-12.372;4.855
156;11.342;-12.445;3.787
157;8.799;-12.445;3.787
158;4.796;-13.011;2.242
159;0.703;-17.958;0.652
160;1.101;-18.109;0.846
161;0.959;-18.109;0.846
162;2.089;-17.457;1.383
163;4.103;-16.385;2.291
164;-0.535;-18.564;0.105
165;-1.229;-18.564;0.105
166;-8.548;-23.096;-4.149
167;-7.716;-21.938;-3.538
168;-4.474;-19.961;-1.608
169;-4.992;-17.674;-1.702
170;-4.572;-17.674;-1.702
171;-0.501;-14.855;0.315
172;3.949;-13.205;2.191
173;7.546;-12.688;3.645
174;10.553;-12.688;3.645
175;14.015;-13.612;5.294
176;9.189;-15.415;3.497
177;-0.748;-13.478;-0.889
178;1.006;-13.478;-0.889
179;-0.194;-8.892;-1.383
180;4.897;-5.578;0.118
181;4.993;-5.332;0.126
182;3.414;-5.332;0.126
183;2.251;-6.094;-0.233
184;4.094;-5.756;0.383
185;12.358;-3.013;2.672
186;25.568;0.174;5.532
187;21.669;0.174;5.532
188;4.765;-0.594;1.411
189;-9.888;-1.632;-2.395
190;-14.996;-1.501;-3.775
191;-15.329;-2.635;-4.176
192;-12.971;-4.181;-3.821
193;4.191;-3.351;1.470
194;4.693;-3.351;1.470
195;9.832;-4.923;3.154
196;2.745;-7.133;1.116
197;-2.736;-12.226;-0.956
198;0.741;-12.226;-0.956
199;-2.093;-12.754;-2.229
200;-5.633;-12.725;-3.831
201;-2.923;-10.960;-2.519
202;1.740;-9.724;-0.584
203;-1.647;-9.724;-0.584
204;-1.900;-12.164;-0.761
205;2.368;-11.466;1.081
206;-2.542;-13.248;-1.086
207;-2.601;-13.248;-1.086
208;-6.354;-15.852;-3.038
209;-2.219;-16.209;-1.020
210;4.752;-16.464;2.448
211;6.611;-16.464;2.448
212;5.112;-16.262;1.681
213;4.198;-14.586;1.117
214;4.039;-14.586;1.117
215;5.682;-14.123;1.857
216;-5.084;-14.303;-3.186
217;-8.820;-13.384;-4.831
218;-11.018;-11.099;-5.446
219;-13.308;-11.099;-5.446
220;-5.997;-9.254;-2.307
221;0.010;-11.280;-0.123
222;-4.778;-11.623;-2.049
223;-3.325;-11.623;-2.049
224;-5.282;-10.141;-2.690
225;-6.471;-8.111;-2.910
226;-7.303;-5.849;-2.911
227;-8.765;-5.849;-2.911
228;-10.805;-4.079;-3.170
229;-1.275;-2.982;-0.724
230;15.276;-1.488;2.797
231;17.633;-1.488;2.797
232;32.535;-0.543;5.729
233;44.141;0.440;8.152
234;32.654;-0.102;5.476
235;-5.778;-4.806;-2.149
236;-5.859;-4.806;-2.149
237;-17.739;-7.820;-6.085
238;-10.275;-7.415;-3.696
239;3.591;-6.847;0.258
240;1.036;-6.847;0.258
241;7.947;-8.387;2.280
242;2.304;-10.444;0.728
243;1.987;-10.191;0.618
244;-0.142;-10.191;0.618
245;-1.303;-9.573;0.268
246;-6.045;-9.822;-1.199
247;-9.364;-10.561;-2.352
248;-9.674;-10.561;-2.352
249;-6.263;-10.357;-1.245
250;1.683;-8.393;1.160
251;-0.203;-8.011;0.641
252;-9.350;-10.586;-2.252
253;-11.536;-10.586;-2.252
254;-11.480;-12.536;-2.608
255;-8.477;-13.205;-1.598
256;-8.357;-12.616;-1.472
257;-3.341;-12.616;-1.472
258;0.244;-11.228;-0.186
259;-1.255;-10.452;-0.675
260;-0.450;-10.317;-0.413
261;1.204;-10.317;-0.413
262;0.849;-11.170;-0.520
263;-2.590;-15.979;-1.929
264;-0.044;-14.496;-0.835
265;-1.100;-14.496;-0.835
266;3.746;-12.837;0.939
267;9.921;-9.543;2.644
268;11.385;-5.816;2.377
269;7.592;-2.411;0.987
270;2.442;-2.411;0.987
271;-8.422;-3.543;-1.368
272;-13.564;-3.680;-2.576
273;-5.244;-3.362;-0.642
274;3.541;-3.362;-0.642
275;16.793;-1.340;1.839
276;23.133;-1.217;3.151
277;13.096;-1.217;3.151
278;1.559;-3.289;1.015
279;-15.093;-3.682;-2.868
280;-25.333;-7.541;-7.319
281;-27.656;-6.978;-7.888
282;-17.151;-4.429;-3.606
283;-4.021;-3.056;-0.210
284;1.637;-2.934;1.022
285;8.304;-2.934;1.022
286;-1.062;-4.927;-1.177
287;-8.393;-6.462;-3.348
288;-12.634;-6.994;-4.736
289;-19.513;-6.994;-4.736
290;-20.103;-7.807;-5.216
291;-23.580;-6.213;-5.772
292;-25.243;-5.651;-6.070
293;-23.273;-5.651;-6.070
294;-20.503;-5.135;-5.017
295;-15.072;-3.476;-3.019
296;-10.348;-3.021;-1.787
297;-15.635;-3.021;-1.787
298;-21.558;-4.201;-3.730
