time;Azymut:;KÄ…t Pitch:;KÄ…t Roll:
1;-9,512;-9,926;0,638
2;-9,418;-12,634;0,246
3;-12,314;-12,634;0,246
4;-8,764;-10,395;1,952
5;-7,488;-11,172;2,296
6;-6,842;-10,921;2,555
7;-8,07;-9,677;2,289
8;-8,68;-9,677;2,289
9;-11,863;-9,463;1,226
10;-12,513;-10,062;0,872
11;-10,743;-10,828;1,367
12;-10,072;-10,828;1,367
13;-8,633;-10,159;1,952
14;-8,002;-9,836;2,202
15;-7,624;-10,468;2,242
16;-4,817;-10,468;2,242
17;-3,425;-10,883;2,71
18;-4,972;-11,24;2,123
19;-2,549;-12,28;2,966
20;-2,008;-12,28;2,966
21;1,302;-12,599;4,277
22;0,06;-12,48;3,781
23;-4,616;-12,565;1,913
24;-4,839;-12,069;1,863
25;-8,462;-12,069;1,863
26;-7,823;-11,723;2,173
27;-8,928;-11,305;1,782
28;-12,662;-11,906;0,132
29;-13,921;-11,906;0,132
30;-19,737;-11,88;-2,336
31;-19,347;-12,653;-2,417
32;-15,032;-15,261;-1,16
33;-15,58;-15,261;-1,16
34;-3,837;-19,453;3,754
35;2,295;-21,444;6,851
36;8,309;-18,263;9,618
37;8,962;-18,263;9,618
38;-0,118;-14,223;5,337
39;-4,387;-13,977;3,625
40;7,63;-22,41;9,47
41;7,23;-22,41;9,47
42;7,933;-20,384;9,588
43;-13,996;-22,223;-1,512
44;-18,475;-24,243;-4,526
45;-19,718;-24,243;-4,526
46;-20,812;-21,776;-4,395
47;-24,146;-19,871;-5,581
48;-15,92;-20,581;-1,411
49;-14,372;-20,581;-1,411
50;-0,697;-23,985;5,718
51;-3,628;-22,66;4,131
52;-0,439;-20,807;5,885
53;0,29;-20,807;5,885
54;1,549;-19,851;6,505
55;3,68;-21,448;7,654
56;1,267;-22,542;6,417
57;-1,758;-20,4;4,849
58;-0,754;-20,4;4,849
59;-1,977;-20,05;4,239
60;-1,498;-20,67;4,465
61;-0,335;-22,164;5,053
62;1,189;-22,164;5,053
63;0,058;-25,291;4,441
64;2,256;-28,633;5,844
65;6,602;-27,743;8,543
66;6,726;-27,743;8,543
67;7,013;-24,511;8,398
68;7,335;-21,989;8,309
69;5,452;-21,877;7,282
70;0,348;-22,987;4,558
71;-5,635;-20,555;1,466
72;-11,704;-16,385;-0,948
73;-19,618;-14,61;-4,183
74;-21,87;-14,61;-4,183
75;-28,035;-13,303;-6,661
76;-30,963;-13,766;-8,424
77;-24,134;-8,498;-2,745
78;-22,962;-8,498;-2,745
79;-18,232;-2,19;0,808
80;-68,07;4,687;-3,609
81;-79,754;5,087;-11,806
82;-93,727;5,087;-11,806
83;-92,907;5,266;-17,019
84;-89,622;4,011;-19,56
85;-85,237;2,242;-16,351
86;-93,835;2,242;-16,351
87;-87,939;-0,391;-18,452
88;-82,653;-3,222;-20,33
89;-84,035;-2,654;-21,552
90;-91,487;1,325;-19,119
91;-89,193;1,325;-19,119
92;-92,423;2,822;-20,872
93;-95,693;4,257;-20,157
94;-91,049;4,257;-20,157
95;-94,496;5,361;-16,81
96;-99,342;7,495;-18,385
97;-104,571;8,995;-16,285
98;-100,459;8,995;-16,285
99;-110,698;10,465;-11,075
100;-97,623;6,778;-8,923
101;-83,11;4,241;-5,475
102;-83,434;4,241;-5,475
103;-82,003;4,377;-3,739
104;-125,406;6,27;-3,772
105;-166,086;6,524;-1,995
106;157,341;6,636;-0,72
107;122,978;6,636;-0,72
108;129,316;8,132;0,379
109;122,27;9,189;3,336
110;114,864;9,239;6,047
111;109,905;9,239;6,047
112;115,843;11,327;6,909
113;109,906;11,317;11,078
114;101,64;9,719;16,088
115;106,721;9,719;16,088
116;103,394;8,71;18,349
117;100,792;6,649;15,9
118;96,673;4,162;12,682
119;98,949;4,162;12,682
120;94,763;2,066;10,646
121;89,457;-0,069;9,591
122;86,007;-1,416;9,926
123;84,017;-2,304;10,822
124;82,952;-2,304;10,822
125;80,688;-3,273;10,649
126;75,327;-5,433;9,807
127;68,599;-8,156;8,986
128;70,835;-8,156;8,986
129;63,123;-11,67;8,484
130;58,954;-14,02;8,633
131;58,79;-14,205;8,757
132;62,626;-14,205;8,757
133;66,104;-12,133;8,39
134;68,902;-10,4;7,679
135;67,227;-10,341;5,954
136;65,879;-10,341;5,954
137;60,46;-10,981;3,054
138;48,524;-13,136;-0,578
139;38,849;-14,558;-3,274
140;36,17;-14,501;-4,283
141;40,328;-14,501;-4,283
142;46,629;-15,272;-0,661
143;46,972;-16,63;0,805
144;43,697;-16,63;0,805
145;45,868;-19,558;4,574
146;42,689;-22,628;4,992
147;34,711;-25,564;1,946
148;40,888;-25,564;1,946
149;35,128;-27,142;-0,695
150;33,351;-24,21;-3,379
151;35,761;-21,558;-3,686
152;44,496;-17,602;-2,057
153;51,463;-14,212;-1,575
154;52,812;-12,801;-2,454
155;53,006;-12,93;-2,194
156;52,521;-12,93;-2,194
157;54,965;-13,081;-0,775
158;82,132;-4,551;1,265
159;103,587;2,212;1,208
160;108,029;2,212;1,208
161;115,993;4,524;0,492
162;114,659;5,515;3,441
163;111,218;8,588;13,431
164;112,911;8,588;13,431
165;112,228;10,203;17,422
166;114,665;9,765;13,456
167;118,381;8,428;7,357
168;115,029;8,428;7,357
169;115,536;6,673;3,598
170;109,573;4,865;5,028
171;100,808;1,963;7,628
172;96,659;0,129;7,018
173;98,871;0,129;7,018
174;97,692;-0,446;6,62
175;96,635;-0,404;11,12
176;96,172;-0,131;16,082
177;94,712;-0,131;16,082
178;93,721;-0,468;21,386
179;93,264;-0,626;25,734
180;90,598;-3,157;27,99
181;91,94;-3,157;27,99
182;91,316;-3,724;27,396
183;90,999;-3,974;26,451
184;92,643;-2,509;25,194
185;90,666;-2,509;25,194
186;93,457;-0,077;25,945
187;97,889;4,353;28,319
188;103,984;10,516;28,372
189;110,354;15,715;25,706
190;106,371;15,715;25,706
191;112,724;18,363;20,441
192;117,195;21,674;19,46
193;115,14;21,674;19,46
194;119,202;23,664;17,37
195;120,699;20,865;12,61
196;121,845;17,928;7,971
197;123,732;17,928;7,971
198;123,332;14,033;3,272
199;117,529;11,28;2,817
200;115,449;10,469;2,793
201;112,8;10,469;2,793
202;128,746;11,859;-1,742
203;146,84;13,807;-4,69
204;160,284;15,071;-6,931
205;171,028;14,509;-9,108
206;-170,182;14,509;-9,108
207;-142,747;13,434;-12,117
208;-124,41;13,513;-15,924
209;-112,975;12,059;-17,3
210;-102,509;12,059;-17,3
211;-93,801;9,672;-15,387
212;-72,814;4,855;-16,352
213;-51,426;-0,095;-14,497
214;-56,565;-0,095;-14,497
215;-42,686;-4,063;-12,875
216;-38,25;-6,496;-13,037
217;-35,756;-7,386;-12,631
218;-42,22;-7,386;-12,631
219;-44,47;-7,189;-13,664
220;-47,158;-7,013;-15,049
221;-47,159;-7,106;-15,143
222;-45,212;-7,144;-14,039
223;-48,41;-7,144;-14,039
224;-45,434;-9,012;-14,089
225;-41,644;-11,798;-14,205
226;-33,363;-14,556;-11,344
227;-30,426;-14,556;-11,344
228;-24,879;-15,172;-8,752
229;-24,195;-14,287;-8,05
230;-22,209;-13,632;-6,862
231;-27,778;-13,632;-6,862
232;-23,281;-14,158;-4,952
233;-16,178;-14,789;-1,96
234;-18,713;-12,333;-2,317
235;-27,398;-8,68;-4,283
236;-32,731;-6,939;-5,385
237;-34,315;-9,947;-7,955
238;-36,922;-13,735;-11,808
239;-33,335;-13,735;-11,808
240;-28,038;-15,997;-9,808
241;-31,676;-13,319;-10,587
242;-35,234;-7,624;-9,062
243;-39,089;-7,624;-9,062
244;-39,122;-7,24;-8,789
245;-31,379;-11,633;-7,438
246;-32,887;-11,633;-7,438
247;-29,639;-18,415;-9,246
248;-17,885;-18,959;-2,802
249;-8,851;-14,562;2,443
250;-4,501;-14,562;2,443
251;1,234;-11,646;4,874
252;5,436;-11,652;6,503
253;8,933;-15,228;8,395
254;0,537;-19,353;4,671
255;-2,036;-19,353;4,671
256;-7,689;-21,689;1,361
257;-13,881;-19,359;-1,783
258;-16,48;-19,679;-3,34
259;-14,184;-19,679;-3,34
260;-12,095;-24,27;-2,913
261;-15,201;-28,709;-5,9
262;-14,533;-29,196;-5,505
263;-13,659;-29,196;-5,505
264;-9,761;-25,165;-2,286
265;-4,618;-23,657;0,986
266;0,494;-23,929;3,992
267;0,36;-23,929;3,992
268;-0,73;-25,825;3,34
269;-6,151;-27,013;-0,063
270;-10,447;-24,958;-2,481
271;-11,461;-20,106;-2,272
272;-13,021;-20,106;-2,272
273;-10,469;-17,319;-0,418
274;-11,335;-18,049;-0,983
275;-12,509;-12,32;-0,438
276;-15,746;-12,32;-0,438
277;-1,244;4,335;5,696
278;108,06;10,797;7,851
279;-157,233;14,038;4,165
280;-161,408;14,038;4,165
281;-175,082;15,946;5,751
282;144,539;21,255;16,42
283;141,279;27,29;21,94
284;140,214;27,29;21,94
285;155,226;19,364;11,226
286;-150,175;7,977;3,634
287;-57,041;3,191;1,135
288;-43,309;0,32;-0,087
289;-39,407;0,32;-0,087
290;-22,613;-3,172;0,809
291;35,384;-5,412;12,799
292;-7,199;-2,753;3,547
293;-12,602;-2,753;3,547
294;-76,104;1,499;-16,206
295;-80,712;4,384;-9,317
296;-79,986;4,384;-9,317
297;-89,197;7,608;-24,656
298;-79,192;1,768;-23,426
299;-36,333;-13,662;-8,388
300;-42,309;-13,662;-8,388
301;31,787;-27,961;21,315
302;33,012;-23,905;19,911
303;34,161;-4,659;8,416
304;70,487;-1,928;12,782
305;92,064;-1,928;12,782
306;96,975;-0,608;17,163
307;137,208;5,366;10,617
308;-153,702;5,88;-0,377
309;-117,539;5,88;-0,377
310;-94,13;3,261;-3,282
311;-68,261;0,932;1,86
312;45,428;-2,276;10,847
313;25,725;-2,276;10,847
314;28,838;-4,165;12,447
315;8,362;-2,854;8,157
316;-0,929;-2,467;6,717
317;29,869;-3,648;12,394
318;54,371;-4,503;21,453
319;56,711;-5,806;24,659
320;49,452;-4,438;19,022
321;48,646;-4,438;19,022
322;36,973;-1,886;12,845
323;35,735;-2,442;12,953
324;42,486;-1,544;13,953
325;57,591;-1,544;13,953
326;51,137;0,05;10,264
327;39,814;0,074;8,8
328;54,144;-1,366;12,725
329;50,311;-1,366;12,725
330;57,194;-1,957;15,571
331;64,832;0,277;14,416
332;73,493;1,74;14,439
333;57,258;1,74;14,439
334;60,808;2,275;14,577
335;63,655;2,283;15,524
336;61,09;1,596;15,91
337;75,408;4,052;16,29
338;76,761;4,052;16,29
339;98,166;7,259;16,5
340;112,224;8,857;14,911
341;126,725;11,497;15,272
342;138,861;11,497;15,272
343;149,354;14,072;15,013
344;-168,263;14,11;7,89
345;-149,873;15,232;3,94
346;-149,269;15,232;3,94
347;-132,374;13,558;-0,277
348;-121,424;11,384;-2,368
349;-125,089;11,384;-2,368
350;-115,259;8,931;-4,468
351;-113,193;9,124;-6,453
352;-107,986;6,66;-5,336
353;-103,039;4,736;-4,538
354;-109,203;4,736;-4,538
355;-103,954;2,566;-3,455
356;-102,083;1,598;-1,84
357;-101,562;2,085;-4,815
358;-106,031;2,085;-4,815
359;-104,596;2,03;-6,587
360;-104,562;2,912;-9,801
361;-101,11;1,872;-12,624
362;-109,709;1,872;-12,624
363;-103,735;-0,345;-17,239
364;-99,47;-2,256;-23,179
365;-95,537;-5,233;-25,638
366;-98,153;-5,233;-25,638
367;-94,934;-7,916;-23,802
368;-92,032;-10,106;-22,897
369;-89,803;-11,623;-21,775
370;-89,113;-12,073;-21,463
371;-90,863;-12,073;-21,463
372;-91,82;-11,178;-19,359
373;-94,775;-9,197;-17,676
374;-97,573;-7,425;-18,172
375;-101,166;-7,425;-18,172
376;-101,481;-7,17;-18,549
377;-98,724;-9,003;-18,856
378;-94,205;-11,987;-18,713
379;-94,849;-11,987;-18,713
380;-91,432;-14,222;-19,023
381;-90,415;-14,869;-18,952
382;-90,358;-14,507;-16,287
383;-91,527;-14,507;-16,287
384;-95,655;-12,048;-11,703
385;-98,563;-10,846;-8,353
386;-100,879;-10,176;-5,756
387;-101,528;-10,287;-3,219
388;-96,144;-10,287;-3,219
389;-87,437;-13,063;-3,511
390;-79,962;-15,738;-4,473
391;-72,654;-18,57;-4,965
392;-70,892;-18,57;-4,965
393;-63,602;-20,629;-3,443
394;-64,19;-20,061;-2,875
395;-67,796;-18,732;-2,878
396;-68,179;-18,732;-2,878
397;-66,305;-19,059;-2,193
398;-68,043;-17,576;-0,412
399;-77,054;-15,071;-0,922
400;-78,335;-15,071;-0,922
401;-79,898;-14,357;0,091
402;-82,958;-13,276;1,413
403;-80,598;-13,741;1,983
404;-81,448;-13,043;4,494
405;-69,931;-14,474;6,748
406;-67,703;-13,652;9,531
407;-62,662;-13,652;9,531
408;-113,872;-8,519;10,425
409;-140,493;-0,669;7,004
410;-141,268;3,136;4,205
411;-143,957;3,136;4,205
412;-147,828;4,21;5,075
413;-163,923;7,078;9,898
414;179,285;13,945;15,77
415;177,895;13,945;15,77
416;178,404;15,953;15,581
417;-160,534;13,15;5,562
418;-141,303;8,667;-2,744
419;-133,7;4,892;-4,438
420;-137,217;4,892;-4,438
421;-135,946;2,694;-3,279
422;-132,544;-0,129;-2,566
423;-128,184;-2,193;-2,899
424;-129,087;-2,193;-2,899
425;-126,97;-2,173;-4,483
426;-124,824;-4,441;-2,84
427;-125,801;-5,661;-0,338
428;-129,89;-5,661;-0,338
429;-128,269;-5,553;-1,47
430;-124,403;-6,004;-3,51
431;-120,794;-6,042;-6,562
432;-119,395;-6,042;-6,562
433;-118,916;-5,326;-8,472
434;-119,388;-4,89;-8,825
435;-117,533;-5,513;-9,654
436;-116,944;-5,338;-10,764
437;-113,756;-5,338;-10,764
438;-113,096;-5,163;-12,272
439;-109,794;-5,762;-17,079
440;-103,915;-8,87;-24,312
441;-102,068;-8,87;-24,312
442;-101,298;-9,188;-32,781
443;-102,782;-7,334;-35,209
444;-105,425;-4,184;-34,096
445;-106,244;-4,184;-34,096
446;-112,363;1,293;-28,343
447;-119,134;5,671;-22,617
448;-125,566;9,141;-18,072
449;-122,021;9,141;-18,072
450;-124,626;10,076;-16,116
451;-126,459;14,252;-18,556
452;-130,972;20,143;-18,713
453;-127,919;20,143;-18,713
454;-130,538;21,447;-17,135
455;-132,249;17,422;-12,204
456;-133,267;14,114;-8,482
457;-132,167;14,114;-8,482
458;-135,413;11,73;-4,169
459;-140,945;11,526;-0,989
460;-142,683;11,838;-0,357
461;-141,116;11,838;-0,357
462;-133,599;10,306;-2,343
463;-128,845;8,735;-2,978
464;-125,719;6,285;-1,457
465;-114,827;6,285;-1,457
466;-105,171;3,802;-0,635
467;-101,501;2,997;-0,309
468;-102,262;2,973;0,439
469;-99,188;2,05;2,713
470;-81,276;2,05;2,713
471;-61,715;1,132;5,463
472;18,334;0,934;9,601
473;60,132;0,99;12,408
474;59,377;0,99;12,408
475;62,883;1,419;12,453
476;79,289;3,202;12,796
477;88,077;4,12;13,739
478;89,885;4,12;13,739
479;83,869;3,062;15,405
480;77,641;1,39;17,91
481;71,588;-0,633;19,598
482;75,699;-0,633;19,598
483;72,444;-2,362;21,411
484;70,458;-3,509;22,349
485;71,149;-4,049;24,605
486;71,792;-3,771;24,674
487;74,322;-1,713;21,688
488;75,687;-0,331;18,411
489;59,163;-2,034;11,673
490;60,685;-2,034;11,673
491;48,898;-2,889;8,498
492;37,256;-4,538;6,896
493;25,564;-6,905;5,472
494;20,762;-6,905;5,472
495;18,741;-9,234;5,746
496;13,095;-10,757;4,523
497;13,445;-11,355;4,765
498;6,346;-11,355;4,765
499;5,119;-10,598;4,315
500;0,307;-10,937;2,879
501;-9,156;-12,04;-0,188
502;-13,324;-12,04;-0,188
503;-13,882;-13,808;-0,788
504;-10,88;-13,594;0,344
505;-1,588;-11,82;3,638
506;-2,25;-11,82;3,638
507;-4,327;-8,994;3,219
508;-4,567;-9,012;3,156
509;-7,613;-7,871;2,526
510;-12;-7,871;2,526
511;-11,587;-8,308;2,539
512;-7,887;-8,439;3,44
513;-10,843;-10,332;2,35
514;-8,423;-10,332;2,35
515;-13,112;-13,841;0,22
516;-12,333;-17,424;-0,234
517;-9,155;-20,507;0,611
518;-2,975;-19,719;3,423
519;-4,788;-19,719;3,423
520;0,757;-15,345;5,743
521;-1,23;-12,139;5,099
522;-4,517;-11,738;4,13
523;-3,66;-11,738;4,13
524;-5,225;-12,568;3,578
525;-9,465;-15,125;1,804
526;-11,046;-17,404;0,805
527;-9,066;-17,404;0,805
528;-8,393;-17,996;0,995
529;-9,098;-18,046;0,697
530;-6,968;-18,077;1,57
531;-6,24;-18,077;1,57
532;-3,442;-18,883;2,703
533;-2,857;-21,767;2,827
534;-3,352;-21,613;2,598
535;-6,416;-20,596;1,239
536;-9,851;-20,596;1,239
537;-11,118;-21,079;0,52
538;-7,464;-21,3;2,344
539;-4,498;-21,824;3,8
540;-3,054;-21,824;3,8
541;-2,775;-22,274;3,923
542;-2,378;-24,699;4,041
543;-3,984;-23,203;3,244
544;-2,987;-23,203;3,244
545;-3,341;-21,506;3,15
546;-3,728;-23,375;2,857
547;-1,448;-23,445;4,021
548;-2,461;-23,445;4,021
